CityKey,WWICityID,City,StateProvince,Country,Continent,SalesTerritory,Region,Subregion,Location,LatestRecordedPopulation,ValidFrom,ValidTo,LineageKey
17508,4765,Butlerville,Arkansas,United States,North America,Southeast,Americas,Northern America,POINT (-91.8334725 34.9759215),0,2013-01-01T00:00:00.000Z,2013-01-01T00:01:00.000Z,1
17509,4766,Butlerville,Ohio,United States,North America,Great Lakes,Americas,Northern America,POINT (-84.0899337 39.3025607),163,2013-01-01T00:00:00.000Z,2013-01-01T00:04:00.000Z,1
17510,4767,Butner,North Carolina,United States,North America,Southeast,Americas,Northern America,POINT (-78.7566714 36.1320893),7591,2013-01-01T00:00:00.000Z,2013-01-01T00:04:00.000Z,1
17511,8429,Danbury,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-92.3713049 46.0066117),172,2013-01-01T00:00:00.000Z,2013-01-01T00:01:00.000Z,1
17512,8430,Danbury,Texas,United States,North America,Southwest,Americas,Northern America,POINT (-95.3449365 29.2282966),1715,2013-01-01T00:00:00.000Z,2013-01-01T00:02:00.000Z,1
17513,8431,Danbury,New Hampshire,United States,North America,New England,Americas,Northern America,POINT (-71.8617482 43.5256297),0,2013-01-01T00:00:00.000Z,2013-01-01T00:05:00.000Z,1
17514,8432,Danby,New York,United States,North America,Mideast,Americas,Northern America,POINT (-76.4807737 42.3522956),0,2013-01-01T00:00:00.000Z,2013-01-01T00:02:00.000Z,1
17515,8433,Danby,Vermont,United States,North America,New England,Americas,Northern America,POINT (-72.9953817 43.3461841),0,2013-01-01T00:00:00.000Z,2013-01-01T00:03:00.000Z,1
17516,8434,Dandridge,Tennessee,United States,North America,Southeast,Americas,Northern America,POINT (-83.4148895 36.0153693),2812,2013-01-01T00:00:00.000Z,2013-01-01T00:05:00.000Z,1
17517,8435,Dane,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-89.5015088 43.2505472),995,2013-01-01T00:00:00.000Z,2013-01-01T00:01:00.000Z,1
17518,8436,Danese,West Virginia,United States,North America,Southeast,Americas,Northern America,POINT (-80.9031487 37.9306711),0,2013-01-01T00:00:00.000Z,2013-01-01T00:02:00.000Z,1
17519,8437,Danevang,Texas,United States,North America,Southwest,Americas,Northern America,POINT (-96.2074635 29.057478),0,2013-01-01T00:00:00.000Z,2013-01-01T00:02:00.000Z,1
17520,8438,Danforth,Maine,United States,North America,New England,Americas,Northern America,POINT (-67.868345 45.6603404),0,2013-01-01T00:00:00.000Z,2013-01-01T00:02:00.000Z,1
17521,8439,Danforth,Illinois,United States,North America,Great Lakes,Americas,Northern America,POINT (-87.977818 40.820312),604,2013-01-01T00:00:00.000Z,2013-01-01T00:05:00.000Z,1
17522,8440,Dania Beach,Florida,United States,North America,Southeast,Americas,Northern America,POINT (-80.1439343 26.052311),29639,2013-01-01T00:00:00.000Z,2013-01-01T00:01:00.000Z,1
17523,8441,Daniel,Wyoming,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-110.070994 42.8643854),150,2013-01-01T00:00:00.000Z,2013-01-01T00:01:00.000Z,1
17524,8442,Daniel,Utah,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-111.4146275 40.4707885),938,2013-01-01T00:00:00.000Z,2013-01-01T00:03:00.000Z,1
17525,8443,Daniels,Idaho,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-112.4130278 42.3729729),0,2013-01-01T00:00:00.000Z,2013-01-01T00:01:00.000Z,1
