CityKey,WWICityID,City,StateProvince,Country,Continent,SalesTerritory,Region,Subregion,Location,LatestRecordedPopulation,ValidFrom,ValidTo,LineageKey
99408,23006,Morrill,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-93.9697048 45.838855),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99409,23010,Morris,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-95.9139406 45.5860721),5286,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99410,23037,Morristown,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-93.4446652 44.2271852),987,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99411,23065,Morton,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-94.9844392 44.5513496),411,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99412,23112,Motley,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-94.646125 46.3366315),671,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99413,23121,Mound,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-93.6660719 44.9366295),9052,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99414,23132,Mounds View,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-93.2085582 45.1049656),12155,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99415,23339,Mountain Iron,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-92.623515 47.5324267),2869,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99416,23340,Mountain Lake,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-94.9297089 43.938846),2104,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99417,23453,Murdock,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-95.3933582 45.2238494),278,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99418,23466,Murphy City,Minnesota,United States,North America,Plains,Americas,Northern America,POINT (-91.3246013 47.5096329),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99752,16941,Jeddito,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-110.1367899 35.7744513),293,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99753,17034,Jerome,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-112.1137716 34.7489107),444,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99754,17195,Joseph City,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-110.334014 34.9558574),1386,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99755,17274,Kachina Village,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-111.6926602 35.0969581),2622,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99756,17284,Kaibab,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-112.7407596 36.896652),124,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99757,17285,Kaibito,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-111.0743114 36.5972186),1522,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99758,17288,Kaka,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-112.3165308 32.5097805),141,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99759,17366,Katherine,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-114.5619097 35.2222207),103,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99760,17381,Kayenta,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-110.2545767 36.7277769),5189,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99761,17386,Keams Canyon,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-110.1951253 35.812506),304,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
99762,17394,Kearny,Arizona,United States,North America,Southwest,Americas,Northern America,POINT (-110.9106656 33.0570085),1950,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
