CityKey,WWICityID,City,StateProvince,Country,Continent,SalesTerritory,Region,Subregion,Location,LatestRecordedPopulation,ValidFrom,ValidTo,LineageKey
93668,5372,Carlyle,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-104.0760428 46.6550109),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93669,5478,Carter,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-110.9563375 47.7810776),58,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93670,5534,Cascade,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-111.7005374 47.2710609),685,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93671,5628,Cat Creek,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-108.0062267 47.0652641),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93672,6037,Chapman,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-108.1331724 48.8686204),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93673,6084,Charlo,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-114.1723378 47.4385435),379,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93674,6085,Charlos Heights,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-114.1778683 46.1263099),120,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93675,6279,Chester,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-110.9674714 48.5105441),847,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93676,6345,Chico Hot Springs,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-110.692156 45.3377145),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93677,6399,Chinook,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-109.2312849 48.59),1203,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93678,6431,Choteau,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-112.1836301 47.8124531),1684,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93679,6446,Christina,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-109.3240665 47.3819237),0,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93680,6483,Churchill,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-111.3044025 45.7507619),902,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93681,6515,Circle,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-105.5922222 47.416675),615,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93682,6559,Clancy,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-111.9863826 46.4652096),1661,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93683,6884,Clinton,Montana,United States,North America,Rocky Mountain,Americas,Northern America,POINT (-113.7125963 46.7690939),1052,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
93943,11088,Fairchild,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-90.9629277 44.6002391),550,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93944,11186,Fairview,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-90.9429061 43.3680325),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93945,11226,Fairwater,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.8670556 43.7438722),371,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93946,11254,Fall Creek,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-91.2770993 44.7635717),1315,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93947,11257,Fall River,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-89.0451108 43.3844338),1712,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93948,11336,Farmington,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.6720465 43.076115),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93949,11395,Fayette,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-90.0354031 42.7541675),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93950,11446,Fence,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.4242897 45.7444027),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93951,11452,Fennimore,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-90.6554041 42.9835997),2497,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93952,11464,Fenwood,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-90.015408 44.866077),152,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93953,11472,Fern,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.3859607 45.8360677),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93954,11507,Ferryville,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-91.1020739 43.3505324),176,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93955,11531,Fifield,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-90.4221048 45.8796767),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93956,11565,Finley,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-90.1362427 44.2132974),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93957,11583,Fish Creek,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-87.2470532 45.1277673),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93958,11600,Fitchburg,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-89.469843 42.9608322),25260,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93959,11713,Florence,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.2517991 45.9221758),592,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93960,11790,Fond du Lac,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.4470508 43.7730448),43021,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93961,11797,Fontana-on-Geneva Lake,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.5700481 42.5452335),1672,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93962,11806,Footville,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-89.2090036 42.6708421),808,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93963,11836,Forest,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-92.2596325 45.1366302),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93964,11860,Forest Junction,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.1442689 44.21249),616,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93965,11882,Forestville,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-87.4792588 44.6899986),430,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93966,11917,Fort Atkinson,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.8370509 42.9288944),12368,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93967,12051,Foster,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-91.311824 44.6430172),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93968,12072,Fountain City,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-91.7187628 44.1319078),859,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93969,12115,Fox Lake,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.9064984 43.565543),1519,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93970,12118,Fox Point,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-87.9017529 43.1575097),6701,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93971,12121,Foxboro,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-92.2879727 46.4985528),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93972,12141,Francis Creek,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-87.7214755 44.199439),669,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93973,12170,Franklin,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-88.0384195 42.888627),35451,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93974,12218,Franksville,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-87.9134133 42.7600188),0,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93975,12238,Frederic,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-92.4671434 45.6591194),1137,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
93976,12265,Fredonia,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,POINT (-87.9506465 43.4705552),2160,2014-07-01T16:00:00.000Z,2015-07-01T16:00:00.000Z,1
104341,31831,Smithfield,Pennsylvania,United States,North America,Mideast,Americas,Northern America,POINT (-79.8078289 39.8031324),875,2014-07-01T16:00:00.000Z,9999-12-31T23:59:59.999Z,1
