StockItemKey,WWIStockItemID,StockItem,Color,SellingPackage,BuyingPackage,Brand,Size,LeadTimeDays,QuantityPerOuter,IsChillerStock,Barcode,TaxRate,UnitPrice,RecommendedRetailPrice,TypicalWeightPerUnit,Photo,ValidFrom,ValidTo,LineageKey
634,182,Shipping carton (Brown) 457x279x279mm,N/A,Each,Each,N/A,457x279x279mm,14,25,false,N/A,14.000,1.28,1.91,0.400,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
635,183,Shipping carton (Brown) 480x270x320mm,N/A,Each,Each,N/A,480x270x320mm,14,25,false,N/A,14.000,2.74,4.10,0.400,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
636,184,Shipping carton (Brown) 305x305x305mm,N/A,Each,Each,N/A,305x305x305mm,14,25,false,N/A,14.000,3.50,5.23,0.300,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
637,185,Shipping carton (Brown) 356x356x279mm,N/A,Each,Each,N/A,356x356x279mm,14,25,false,N/A,14.000,2.04,3.05,0.300,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
638,186,Shipping carton (Brown) 457x457x457mm,N/A,Each,Each,N/A,457x457x457mm,14,25,false,N/A,14.000,2.10,3.14,0.400,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
639,187,Express post box 5kg (White) 350x280x130mm,N/A,Each,Each,N/A,350x280x130mm,14,25,false,N/A,14.000,0.95,1.42,0.200,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
640,188,3 kg Courier post bag (White) 300x190x95mm,N/A,Each,Each,N/A,300x190x95mm,14,25,false,N/A,14.000,0.66,0.99,0.100,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
641,189,Clear packaging tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,26,false,N/A,14.000,2.90,4.34,0.500,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
642,190,Clear packaging tape 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,20,false,N/A,14.000,3.50,5.23,0.700,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
643,191,Black and orange fragile despatch tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,36,false,N/A,14.000,3.70,5.53,0.500,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
644,192,Black and orange fragile despatch tape 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,36,false,N/A,14.000,4.10,6.13,0.700,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
645,193,Black and orange glass with care despatch tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,false,N/A,14.000,3.70,5.53,0.500,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
646,194,Black and orange glass with care despatch tape  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,false,N/A,14.000,4.10,6.13,0.700,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
647,195,Black and orange handle with care despatch tape  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,false,N/A,14.000,3.70,5.53,0.500,,2016-05-31T23:12:00.000Z,9999-12-31T23:59:59.999Z,5
0,0,Unknown,N/A,N/A,N/A,N/A,N/A,0,0,false,N/A,0.000,0.00,0.00,0.000,,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,0
1,219,Void fill 400 L bag (White) 400L,N/A,Each,Each,N/A,400L,14,10,false,N/A,14.000,50.00,74.75,1.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
2,218,Void fill 300 L bag (White) 300L,N/A,Each,Each,N/A,300L,14,10,false,N/A,14.000,37.50,56.06,0.750,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
3,217,Void fill 200 L bag (White) 200L,N/A,Each,Each,N/A,200L,14,10,false,N/A,14.000,25.00,37.38,0.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
4,216,Void fill 100 L bag (White) 100L,N/A,Each,Each,N/A,100L,14,10,false,N/A,14.000,12.50,18.69,0.250,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
5,215,Air cushion machine (Blue),N/A,Each,Each,N/A,N/A,20,1,false,N/A,20.000,1899.00,2839.01,10.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
6,214,Air cushion film 200mmx200mm 325m,N/A,Each,Each,N/A,325m,14,1,false,N/A,14.000,90.00,134.55,6.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
7,213,Air cushion film 200mmx100mm 325m,N/A,Each,Each,N/A,325m,14,1,false,N/A,14.000,87.00,130.07,5.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
8,212,Large  replacement blades 18mm,N/A,Each,Each,N/A,18mm,14,10,false,N/A,14.000,4.30,6.43,0.800,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
9,211,Small 9mm replacement blades 9mm,N/A,Each,Each,N/A,9mm,14,10,false,N/A,14.000,4.10,6.13,0.700,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
10,210,Packing knife with metal insert blade (Yellow) 18mm,N/A,Each,Each,N/A,18mm,14,5,false,N/A,14.000,2.40,3.59,0.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
11,209,Packing knife with metal insert blade (Yellow) 9mm,N/A,Each,Each,N/A,9mm,14,5,false,N/A,14.000,1.89,2.83,0.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
12,208,Permanent marker red 5mm nib (Red) 5mm,N/A,Each,Each,N/A,5mm,14,12,false,N/A,14.000,2.70,4.04,0.100,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
13,207,Permanent marker blue 5mm nib (Blue) 5mm,N/A,Each,Each,N/A,5mm,14,12,false,N/A,14.000,2.70,4.04,0.100,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
14,206,Permanent marker black 5mm nib (Black) 5mm,N/A,Each,Each,N/A,5mm,14,12,false,N/A,14.000,2.70,4.04,0.100,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
15,205,Tape dispenser (Blue),N/A,Each,Each,N/A,N/A,20,10,false,N/A,20.000,32.00,47.84,1.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
16,204,Tape dispenser (Red),N/A,Each,Each,N/A,N/A,20,10,false,N/A,20.000,32.00,47.84,1.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
17,203,Tape dispenser (Black),N/A,Each,Each,N/A,N/A,20,10,false,N/A,20.000,32.00,47.84,1.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
18,202,Red and white urgent  heavy despatch tape  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,false,N/A,14.000,4.10,6.13,0.700,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
19,201,Red and white urgent despatch tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,false,N/A,14.000,3.70,5.53,0.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
20,200,Black and yellow heavy despatch tape 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,false,N/A,14.000,4.10,6.13,0.700,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
21,199,Black and yellow heavy despatch tape  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,false,N/A,14.000,3.70,5.53,0.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
22,198,Black and orange this way up despatch tape  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,false,N/A,14.000,4.10,6.13,0.700,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
23,197,Black and orange this way up despatch tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,false,N/A,14.000,3.70,5.53,0.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
24,196,Black and orange handle with care despatch tape  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,false,N/A,14.000,4.10,6.13,0.700,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
25,195,Black and orange handle with care despatch tape  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,false,N/A,14.000,3.70,5.53,0.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
26,194,Black and orange glass with care despatch tape  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,false,N/A,14.000,4.10,6.13,0.700,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
135,85,"\"The Gu\" red shirt XML tag t-shirt (White) 4XL",White,Each,Carton,N/A,4XL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
136,84,"\"The Gu\" red shirt XML tag t-shirt (White) 3XL",White,Each,Carton,N/A,3XL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
137,83,"\"The Gu\" red shirt XML tag t-shirt (White) XXL",White,Each,Carton,N/A,XXL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
138,82,"\"The Gu\" red shirt XML tag t-shirt (White) XL",White,Each,Carton,N/A,XL,7,12,false,N/A,7.000,18.00,26.91,0.350,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
139,81,"\"The Gu\" red shirt XML tag t-shirt (White) L",White,Each,Carton,N/A,L,7,12,false,N/A,7.000,18.00,26.91,0.350,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
140,80,"\"The Gu\" red shirt XML tag t-shirt (White) M",White,Each,Carton,N/A,M,7,12,false,N/A,7.000,18.00,26.91,0.350,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
141,79,"\"The Gu\" red shirt XML tag t-shirt (White) S",White,Each,Carton,N/A,S,7,12,false,N/A,7.000,18.00,26.91,0.300,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
142,78,"\"The Gu\" red shirt XML tag t-shirt (White) XS",White,Each,Carton,N/A,XS,7,12,false,N/A,7.000,18.00,26.91,0.250,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
143,77,"\"The Gu\" red shirt XML tag t-shirt (White) XXS",White,Each,Carton,N/A,XXS,7,12,false,N/A,7.000,18.00,26.91,0.250,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
144,76,"\"The Gu\" red shirt XML tag t-shirt (White) 3XS",White,Each,Carton,N/A,3XS,7,12,false,N/A,7.000,18.00,26.91,0.250,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
145,75,Ride on big wheel monster truck (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,false,N/A,14.000,345.00,515.78,21.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
146,74,Ride on vintage American toy coupe (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,false,N/A,14.000,285.00,426.08,18.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
147,73,Ride on vintage American toy coupe (Red) 1/12 scale,Red,Each,Each,Northwind,1/12 scale,14,1,false,N/A,14.000,285.00,426.08,18.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
148,72,Ride on toy sedan car (Pink) 1/12 scale,N/A,Each,Each,Northwind,1/12 scale,14,1,false,N/A,14.000,230.00,343.85,15.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
149,71,Ride on toy sedan car (Yellow) 1/12 scale,Yellow,Each,Each,Northwind,1/12 scale,14,1,false,N/A,14.000,230.00,343.85,15.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
150,70,Ride on toy sedan car (Green) 1/12 scale,N/A,Each,Each,Northwind,1/12 scale,14,1,false,N/A,14.000,230.00,343.85,15.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
151,69,Ride on toy sedan car (Blue) 1/12 scale,Blue,Each,Each,Northwind,1/12 scale,14,1,false,N/A,14.000,230.00,343.85,15.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
152,68,Ride on toy sedan car (Red) 1/12 scale,Red,Each,Each,Northwind,1/12 scale,14,1,false,N/A,14.000,230.00,343.85,15.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
153,67,Ride on toy sedan car (Black) 1/12 scale,Black,Each,Each,Northwind,1/12 scale,14,1,false,N/A,14.000,230.00,343.85,15.000,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
154,66,RC big wheel monster truck with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,false,N/A,14.000,45.00,67.28,1.800,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
155,65,RC vintage American toy coupe with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,false,N/A,14.000,30.00,44.85,1.700,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
156,64,RC vintage American toy coupe with remote control (Red) 1/50 scale,Red,Each,Each,Northwind,1/50 scale,14,1,false,N/A,14.000,30.00,44.85,1.700,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
157,63,RC toy sedan car with remote control (Pink) 1/50 scale,N/A,Each,Each,Northwind,1/50 scale,14,1,false,N/A,14.000,25.00,37.38,1.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
158,62,RC toy sedan car with remote control (Yellow) 1/50 scale,Yellow,Each,Each,Northwind,1/50 scale,14,1,false,N/A,14.000,25.00,37.38,1.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
159,61,RC toy sedan car with remote control (Green) 1/50 scale,N/A,Each,Each,Northwind,1/50 scale,14,1,false,N/A,14.000,25.00,37.38,1.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
160,60,RC toy sedan car with remote control (Blue) 1/50 scale,Blue,Each,Each,Northwind,1/50 scale,14,1,false,N/A,14.000,25.00,37.38,1.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
161,59,RC toy sedan car with remote control (Red) 1/50 scale,Red,Each,Each,Northwind,1/50 scale,14,1,false,N/A,14.000,25.00,37.38,1.500,,2013-01-01T00:00:00.000Z,2016-05-31T23:00:00.000Z,5
405,82,"\"The Gu\" red shirt XML tag t-shirt (White) XL",White,Each,Carton,N/A,XL,7,12,false,N/A,7.000,18.00,26.91,0.350,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
406,83,"\"The Gu\" red shirt XML tag t-shirt (White) XXL",White,Each,Carton,N/A,XXL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
407,84,"\"The Gu\" red shirt XML tag t-shirt (White) 3XL",White,Each,Carton,N/A,3XL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
408,85,"\"The Gu\" red shirt XML tag t-shirt (White) 4XL",White,Each,Carton,N/A,4XL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
409,86,"\"The Gu\" red shirt XML tag t-shirt (White) 5XL",White,Each,Carton,N/A,5XL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
410,87,"\"The Gu\" red shirt XML tag t-shirt (White) 6XL",White,Each,Carton,N/A,6XL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
411,88,"\"The Gu\" red shirt XML tag t-shirt (White) 7XL",White,Each,Carton,N/A,7XL,7,12,false,N/A,7.000,18.00,26.91,0.450,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
412,89,"\"The Gu\" red shirt XML tag t-shirt (Black) 3XS",Black,Each,Carton,N/A,3XS,7,12,false,N/A,7.000,18.00,26.91,0.250,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
413,90,"\"The Gu\" red shirt XML tag t-shirt (Black) XXS",Black,Each,Carton,N/A,XXS,7,12,false,N/A,7.000,18.00,26.91,0.250,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
414,91,"\"The Gu\" red shirt XML tag t-shirt (Black) XS",Black,Each,Carton,N/A,XS,7,12,false,N/A,7.000,18.00,26.91,0.250,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
415,92,"\"The Gu\" red shirt XML tag t-shirt (Black) S",Black,Each,Carton,N/A,S,7,12,false,N/A,7.000,18.00,26.91,0.300,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
416,93,"\"The Gu\" red shirt XML tag t-shirt (Black) M",Black,Each,Carton,N/A,M,7,12,false,N/A,7.000,18.00,26.91,0.350,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
417,94,"\"The Gu\" red shirt XML tag t-shirt (Black) L",Black,Each,Carton,N/A,L,7,12,false,N/A,7.000,18.00,26.91,0.350,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
418,95,"\"The Gu\" red shirt XML tag t-shirt (Black) XL",Black,Each,Carton,N/A,XL,7,12,false,N/A,7.000,18.00,26.91,0.350,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
419,96,"\"The Gu\" red shirt XML tag t-shirt (Black) XXL",Black,Each,Carton,N/A,XXL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
420,97,"\"The Gu\" red shirt XML tag t-shirt (Black) 3XL",Black,Each,Carton,N/A,3XL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
421,98,"\"The Gu\" red shirt XML tag t-shirt (Black) 4XL",Black,Each,Carton,N/A,4XL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
422,99,"\"The Gu\" red shirt XML tag t-shirt (Black) 5XL",Black,Each,Carton,N/A,5XL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
423,100,"\"The Gu\" red shirt XML tag t-shirt (Black) 6XL",Black,Each,Carton,N/A,6XL,7,12,false,N/A,7.000,18.00,26.91,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
424,101,"\"The Gu\" red shirt XML tag t-shirt (Black) 7XL",Black,Each,Carton,N/A,7XL,7,12,false,N/A,7.000,18.00,26.91,0.450,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
425,102,Alien officer hoodie (Black) XL,Black,Each,Each,N/A,XL,12,1,false,N/A,12.000,35.00,52.33,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
426,103,Alien officer hoodie (Black) XXL,Black,Each,Each,N/A,XXL,12,1,false,N/A,12.000,35.00,52.33,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
427,104,Alien officer hoodie (Black) 3XL,Black,Each,Each,N/A,3XL,12,1,false,N/A,12.000,35.00,52.33,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
428,105,Alien officer hoodie (Black) 4XL,Black,Each,Each,N/A,4XL,12,1,false,N/A,12.000,35.00,52.33,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
429,106,Alien officer hoodie (Black) 5XL,Black,Each,Each,N/A,5XL,12,1,false,N/A,12.000,35.00,52.33,0.400,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
430,107,Superhero action jacket (Blue) 3XS,Blue,Each,Each,N/A,3XS,12,1,false,N/A,12.000,25.00,37.38,0.300,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
431,108,Superhero action jacket (Blue) XXS,Blue,Each,Each,N/A,XXS,12,1,false,N/A,12.000,25.00,37.38,0.300,,2016-05-31T23:00:00.000Z,9999-12-31T23:59:59.999Z,5
594,7,USB food flash drive - pizza slice,N/A,Each,Each,N/A,N/A,14,1,false,N/A,14.000,32.00,47.84,0.050,,2016-05-31T23:11:00.000Z,9999-12-31T23:59:59.999Z,5
595,8,USB food flash drive - dim sum 10 drive variety pack,N/A,Packet,Packet,N/A,N/A,14,1,false,N/A,14.000,240.00,358.80,0.500,,2016-05-31T23:11:00.000Z,9999-12-31T23:59:59.999Z,5
