Date,DayNumber,Day,Month,ShortMonth,CalendarMonthNumber,CalendarMonthLabel,CalendarYear,CalendarYearLabel,FiscalMonthNumber,FiscalMonthLabel,FiscalYear,FiscalYearLabel,ISOWeekNumber
2015-01-21T00:00:00.000Z,21,21,January,Jan,1,CY2015-Jan,2015,CY2015,3,FY2015-Jan,2015,FY2015,4
2015-01-22T00:00:00.000Z,22,22,January,Jan,1,CY2015-Jan,2015,CY2015,3,FY2015-Jan,2015,FY2015,4
2015-01-23T00:00:00.000Z,23,23,January,Jan,1,CY2015-Jan,2015,CY2015,3,FY2015-Jan,2015,FY2015,4
2015-01-24T00:00:00.000Z,24,24,January,Jan,1,CY2015-Jan,2015,CY2015,3,FY2015-Jan,2015,FY2015,4
2015-01-25T00:00:00.000Z,25,25,January,Jan,1,CY2015-Jan,2015,CY2015,3,FY2015-Jan,2015,FY2015,4
2015-01-26T00:00:00.000Z,26,26,January,Jan,1,CY2015-Jan,2015,CY2015,3,FY2015-Jan,2015,FY2015,5
2015-01-27T00:00:00.000Z,27,27,January,Jan,1,CY2015-Jan,2015,CY2015,3,FY2015-Jan,2015,FY2015,5
2015-01-28T00:00:00.000Z,28,28,January,Jan,1,CY2015-Jan,2015,CY2015,3,FY2015-Jan,2015,FY2015,5
2015-01-29T00:00:00.000Z,29,29,January,Jan,1,CY2015-Jan,2015,CY2015,3,FY2015-Jan,2015,FY2015,5
2015-01-30T00:00:00.000Z,30,30,January,Jan,1,CY2015-Jan,2015,CY2015,3,FY2015-Jan,2015,FY2015,5
2015-02-21T00:00:00.000Z,21,21,February,Feb,2,CY2015-Feb,2015,CY2015,4,FY2015-Feb,2015,FY2015,8
2015-02-22T00:00:00.000Z,22,22,February,Feb,2,CY2015-Feb,2015,CY2015,4,FY2015-Feb,2015,FY2015,8
2015-02-23T00:00:00.000Z,23,23,February,Feb,2,CY2015-Feb,2015,CY2015,4,FY2015-Feb,2015,FY2015,9
2015-02-24T00:00:00.000Z,24,24,February,Feb,2,CY2015-Feb,2015,CY2015,4,FY2015-Feb,2015,FY2015,9
2015-02-25T00:00:00.000Z,25,25,February,Feb,2,CY2015-Feb,2015,CY2015,4,FY2015-Feb,2015,FY2015,9
2015-02-26T00:00:00.000Z,26,26,February,Feb,2,CY2015-Feb,2015,CY2015,4,FY2015-Feb,2015,FY2015,9
2015-02-27T00:00:00.000Z,27,27,February,Feb,2,CY2015-Feb,2015,CY2015,4,FY2015-Feb,2015,FY2015,9
2015-02-28T00:00:00.000Z,28,28,February,Feb,2,CY2015-Feb,2015,CY2015,4,FY2015-Feb,2015,FY2015,9
2015-03-21T00:00:00.000Z,21,21,March,Mar,3,CY2015-Mar,2015,CY2015,5,FY2015-Mar,2015,FY2015,12
2015-03-22T00:00:00.000Z,22,22,March,Mar,3,CY2015-Mar,2015,CY2015,5,FY2015-Mar,2015,FY2015,12
2015-03-23T00:00:00.000Z,23,23,March,Mar,3,CY2015-Mar,2015,CY2015,5,FY2015-Mar,2015,FY2015,13
2015-03-24T00:00:00.000Z,24,24,March,Mar,3,CY2015-Mar,2015,CY2015,5,FY2015-Mar,2015,FY2015,13
2015-03-25T00:00:00.000Z,25,25,March,Mar,3,CY2015-Mar,2015,CY2015,5,FY2015-Mar,2015,FY2015,13
2015-03-26T00:00:00.000Z,26,26,March,Mar,3,CY2015-Mar,2015,CY2015,5,FY2015-Mar,2015,FY2015,13
2015-03-27T00:00:00.000Z,27,27,March,Mar,3,CY2015-Mar,2015,CY2015,5,FY2015-Mar,2015,FY2015,13
2015-03-28T00:00:00.000Z,28,28,March,Mar,3,CY2015-Mar,2015,CY2015,5,FY2015-Mar,2015,FY2015,13
2015-03-29T00:00:00.000Z,29,29,March,Mar,3,CY2015-Mar,2015,CY2015,5,FY2015-Mar,2015,FY2015,13
2015-03-30T00:00:00.000Z,30,30,March,Mar,3,CY2015-Mar,2015,CY2015,5,FY2015-Mar,2015,FY2015,14
2015-04-21T00:00:00.000Z,21,21,April,Apr,4,CY2015-Apr,2015,CY2015,6,FY2015-Apr,2015,FY2015,17
2015-04-22T00:00:00.000Z,22,22,April,Apr,4,CY2015-Apr,2015,CY2015,6,FY2015-Apr,2015,FY2015,17
2015-04-23T00:00:00.000Z,23,23,April,Apr,4,CY2015-Apr,2015,CY2015,6,FY2015-Apr,2015,FY2015,17
