Date,DayNumber,Day,Month,ShortMonth,CalendarMonthNumber,CalendarMonthLabel,CalendarYear,CalendarYearLabel,FiscalMonthNumber,FiscalMonthLabel,FiscalYear,FiscalYearLabel,ISOWeekNumber
2014-01-31T00:00:00.000Z,31,31,January,Jan,1,CY2014-Jan,2014,CY2014,3,FY2014-Jan,2014,FY2014,5
2014-03-31T00:00:00.000Z,31,31,March,Mar,3,CY2014-Mar,2014,CY2014,5,FY2014-Mar,2014,FY2014,14
2014-05-31T00:00:00.000Z,31,31,May,May,5,CY2014-May,2014,CY2014,7,FY2014-May,2014,FY2014,22
2014-07-31T00:00:00.000Z,31,31,July,Jul,7,CY2014-Jul,2014,CY2014,9,FY2014-Jul,2014,FY2014,31
2014-08-31T00:00:00.000Z,31,31,August,Aug,8,CY2014-Aug,2014,CY2014,10,FY2014-Aug,2014,FY2014,35
2014-09-30T00:00:00.000Z,30,30,September,Sep,9,CY2014-Sep,2014,CY2014,11,FY2014-Sep,2014,FY2014,40
2014-10-30T00:00:00.000Z,30,30,October,Oct,10,CY2014-Oct,2014,CY2014,12,FY2014-Oct,2014,FY2014,44
2014-10-31T00:00:00.000Z,31,31,October,Oct,10,CY2014-Oct,2014,CY2014,12,FY2014-Oct,2014,FY2014,44
2014-11-30T00:00:00.000Z,30,30,November,Nov,11,CY2014-Nov,2014,CY2014,1,FY2015-Nov,2015,FY2015,48
2014-12-30T00:00:00.000Z,30,30,December,Dec,12,CY2014-Dec,2014,CY2014,2,FY2015-Dec,2015,FY2015,1
2014-12-31T00:00:00.000Z,31,31,December,Dec,12,CY2014-Dec,2014,CY2014,2,FY2015-Dec,2015,FY2015,1
2013-01-31T00:00:00.000Z,31,31,January,Jan,1,CY2013-Jan,2013,CY2013,3,FY2013-Jan,2013,FY2013,5
2013-03-31T00:00:00.000Z,31,31,March,Mar,3,CY2013-Mar,2013,CY2013,5,FY2013-Mar,2013,FY2013,13
2013-05-31T00:00:00.000Z,31,31,May,May,5,CY2013-May,2013,CY2013,7,FY2013-May,2013,FY2013,22
2013-07-31T00:00:00.000Z,31,31,July,Jul,7,CY2013-Jul,2013,CY2013,9,FY2013-Jul,2013,FY2013,31
2013-08-31T00:00:00.000Z,31,31,August,Aug,8,CY2013-Aug,2013,CY2013,10,FY2013-Aug,2013,FY2013,35
2013-09-30T00:00:00.000Z,30,30,September,Sep,9,CY2013-Sep,2013,CY2013,11,FY2013-Sep,2013,FY2013,40
2013-10-30T00:00:00.000Z,30,30,October,Oct,10,CY2013-Oct,2013,CY2013,12,FY2013-Oct,2013,FY2013,44
2013-10-31T00:00:00.000Z,31,31,October,Oct,10,CY2013-Oct,2013,CY2013,12,FY2013-Oct,2013,FY2013,44
2013-11-30T00:00:00.000Z,30,30,November,Nov,11,CY2013-Nov,2013,CY2013,1,FY2014-Nov,2014,FY2014,48
2013-12-30T00:00:00.000Z,30,30,December,Dec,12,CY2013-Dec,2013,CY2013,2,FY2014-Dec,2014,FY2014,1
2013-12-31T00:00:00.000Z,31,31,December,Dec,12,CY2013-Dec,2013,CY2013,2,FY2014-Dec,2014,FY2014,1
2012-01-01T00:00:00.000Z,1,1,January,Jan,1,CY2012-Jan,2012,CY2012,3,FY2012-Jan,2012,FY2012,52
2012-01-02T00:00:00.000Z,2,2,January,Jan,1,CY2012-Jan,2012,CY2012,3,FY2012-Jan,2012,FY2012,1
2012-01-03T00:00:00.000Z,3,3,January,Jan,1,CY2012-Jan,2012,CY2012,3,FY2012-Jan,2012,FY2012,1
2012-01-04T00:00:00.000Z,4,4,January,Jan,1,CY2012-Jan,2012,CY2012,3,FY2012-Jan,2012,FY2012,1
2012-01-05T00:00:00.000Z,5,5,January,Jan,1,CY2012-Jan,2012,CY2012,3,FY2012-Jan,2012,FY2012,1
2012-01-06T00:00:00.000Z,6,6,January,Jan,1,CY2012-Jan,2012,CY2012,3,FY2012-Jan,2012,FY2012,1
2012-01-07T00:00:00.000Z,7,7,January,Jan,1,CY2012-Jan,2012,CY2012,3,FY2012-Jan,2012,FY2012,1
2012-01-08T00:00:00.000Z,8,8,January,Jan,1,CY2012-Jan,2012,CY2012,3,FY2012-Jan,2012,FY2012,1
2012-01-09T00:00:00.000Z,9,9,January,Jan,1,CY2012-Jan,2012,CY2012,3,FY2012-Jan,2012,FY2012,2
2012-01-10T00:00:00.000Z,10,10,January,Jan,1,CY2012-Jan,2012,CY2012,3,FY2012-Jan,2012,FY2012,2
2012-02-01T00:00:00.000Z,1,1,February,Feb,2,CY2012-Feb,2012,CY2012,4,FY2012-Feb,2012,FY2012,5
2012-02-02T00:00:00.000Z,2,2,February,Feb,2,CY2012-Feb,2012,CY2012,4,FY2012-Feb,2012,FY2012,5
2012-02-03T00:00:00.000Z,3,3,February,Feb,2,CY2012-Feb,2012,CY2012,4,FY2012-Feb,2012,FY2012,5
2012-02-04T00:00:00.000Z,4,4,February,Feb,2,CY2012-Feb,2012,CY2012,4,FY2012-Feb,2012,FY2012,5
2012-02-05T00:00:00.000Z,5,5,February,Feb,2,CY2012-Feb,2012,CY2012,4,FY2012-Feb,2012,FY2012,5
2012-02-06T00:00:00.000Z,6,6,February,Feb,2,CY2012-Feb,2012,CY2012,4,FY2012-Feb,2012,FY2012,6
2012-02-07T00:00:00.000Z,7,7,February,Feb,2,CY2012-Feb,2012,CY2012,4,FY2012-Feb,2012,FY2012,6
2012-02-08T00:00:00.000Z,8,8,February,Feb,2,CY2012-Feb,2012,CY2012,4,FY2012-Feb,2012,FY2012,6
2012-02-09T00:00:00.000Z,9,9,February,Feb,2,CY2012-Feb,2012,CY2012,4,FY2012-Feb,2012,FY2012,6
2012-02-10T00:00:00.000Z,10,10,February,Feb,2,CY2012-Feb,2012,CY2012,4,FY2012-Feb,2012,FY2012,6
2012-03-01T00:00:00.000Z,1,1,March,Mar,3,CY2012-Mar,2012,CY2012,5,FY2012-Mar,2012,FY2012,9
2012-03-02T00:00:00.000Z,2,2,March,Mar,3,CY2012-Mar,2012,CY2012,5,FY2012-Mar,2012,FY2012,9
2012-03-03T00:00:00.000Z,3,3,March,Mar,3,CY2012-Mar,2012,CY2012,5,FY2012-Mar,2012,FY2012,9
2012-03-04T00:00:00.000Z,4,4,March,Mar,3,CY2012-Mar,2012,CY2012,5,FY2012-Mar,2012,FY2012,9
2012-03-05T00:00:00.000Z,5,5,March,Mar,3,CY2012-Mar,2012,CY2012,5,FY2012-Mar,2012,FY2012,10
