Date,DayNumber,Day,Month,ShortMonth,CalendarMonthNumber,CalendarMonthLabel,CalendarYear,CalendarYearLabel,FiscalMonthNumber,FiscalMonthLabel,FiscalYear,FiscalYearLabel,ISOWeekNumber
2002-01-21T00:00:00.000Z,21,21,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,4
2002-01-22T00:00:00.000Z,22,22,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,4
2002-01-23T00:00:00.000Z,23,23,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,4
2002-01-24T00:00:00.000Z,24,24,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,4
2002-01-25T00:00:00.000Z,25,25,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,4
2002-01-26T00:00:00.000Z,26,26,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,4
2002-01-27T00:00:00.000Z,27,27,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,4
2002-01-28T00:00:00.000Z,28,28,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,5
2002-01-29T00:00:00.000Z,29,29,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,5
2002-01-30T00:00:00.000Z,30,30,January,Jan,1,CY2002-Jan,2002,CY2002,3,FY2002-Jan,2002,FY2002,5
2002-02-21T00:00:00.000Z,21,21,February,Feb,2,CY2002-Feb,2002,CY2002,4,FY2002-Feb,2002,FY2002,8
2002-02-22T00:00:00.000Z,22,22,February,Feb,2,CY2002-Feb,2002,CY2002,4,FY2002-Feb,2002,FY2002,8
2002-02-23T00:00:00.000Z,23,23,February,Feb,2,CY2002-Feb,2002,CY2002,4,FY2002-Feb,2002,FY2002,8
2002-02-24T00:00:00.000Z,24,24,February,Feb,2,CY2002-Feb,2002,CY2002,4,FY2002-Feb,2002,FY2002,8
2002-02-25T00:00:00.000Z,25,25,February,Feb,2,CY2002-Feb,2002,CY2002,4,FY2002-Feb,2002,FY2002,9
2002-02-26T00:00:00.000Z,26,26,February,Feb,2,CY2002-Feb,2002,CY2002,4,FY2002-Feb,2002,FY2002,9
2002-02-27T00:00:00.000Z,27,27,February,Feb,2,CY2002-Feb,2002,CY2002,4,FY2002-Feb,2002,FY2002,9
2002-02-28T00:00:00.000Z,28,28,February,Feb,2,CY2002-Feb,2002,CY2002,4,FY2002-Feb,2002,FY2002,9
2002-03-21T00:00:00.000Z,21,21,March,Mar,3,CY2002-Mar,2002,CY2002,5,FY2002-Mar,2002,FY2002,12
2002-03-22T00:00:00.000Z,22,22,March,Mar,3,CY2002-Mar,2002,CY2002,5,FY2002-Mar,2002,FY2002,12
2002-03-23T00:00:00.000Z,23,23,March,Mar,3,CY2002-Mar,2002,CY2002,5,FY2002-Mar,2002,FY2002,12
