Date,DayNumber,Day,Month,ShortMonth,CalendarMonthNumber,CalendarMonthLabel,CalendarYear,CalendarYearLabel,FiscalMonthNumber,FiscalMonthLabel,FiscalYear,FiscalYearLabel,ISOWeekNumber
2003-01-01T00:00:00.000Z,1,1,January,Jan,1,CY2003-Jan,2003,CY2003,3,FY2003-Jan,2003,FY2003,1
2003-01-02T00:00:00.000Z,2,2,January,Jan,1,CY2003-Jan,2003,CY2003,3,FY2003-Jan,2003,FY2003,1
2003-01-03T00:00:00.000Z,3,3,January,Jan,1,CY2003-Jan,2003,CY2003,3,FY2003-Jan,2003,FY2003,1
2003-01-04T00:00:00.000Z,4,4,January,Jan,1,CY2003-Jan,2003,CY2003,3,FY2003-Jan,2003,FY2003,1
2003-01-05T00:00:00.000Z,5,5,January,Jan,1,CY2003-Jan,2003,CY2003,3,FY2003-Jan,2003,FY2003,1
2003-01-06T00:00:00.000Z,6,6,January,Jan,1,CY2003-Jan,2003,CY2003,3,FY2003-Jan,2003,FY2003,2
2003-01-07T00:00:00.000Z,7,7,January,Jan,1,CY2003-Jan,2003,CY2003,3,FY2003-Jan,2003,FY2003,2
2003-01-08T00:00:00.000Z,8,8,January,Jan,1,CY2003-Jan,2003,CY2003,3,FY2003-Jan,2003,FY2003,2
2003-01-09T00:00:00.000Z,9,9,January,Jan,1,CY2003-Jan,2003,CY2003,3,FY2003-Jan,2003,FY2003,2
2003-01-10T00:00:00.000Z,10,10,January,Jan,1,CY2003-Jan,2003,CY2003,3,FY2003-Jan,2003,FY2003,2
2003-02-01T00:00:00.000Z,1,1,February,Feb,2,CY2003-Feb,2003,CY2003,4,FY2003-Feb,2003,FY2003,5
2003-02-02T00:00:00.000Z,2,2,February,Feb,2,CY2003-Feb,2003,CY2003,4,FY2003-Feb,2003,FY2003,5
2003-02-03T00:00:00.000Z,3,3,February,Feb,2,CY2003-Feb,2003,CY2003,4,FY2003-Feb,2003,FY2003,6
2003-02-04T00:00:00.000Z,4,4,February,Feb,2,CY2003-Feb,2003,CY2003,4,FY2003-Feb,2003,FY2003,6
2003-02-05T00:00:00.000Z,5,5,February,Feb,2,CY2003-Feb,2003,CY2003,4,FY2003-Feb,2003,FY2003,6
2003-02-06T00:00:00.000Z,6,6,February,Feb,2,CY2003-Feb,2003,CY2003,4,FY2003-Feb,2003,FY2003,6
2003-02-07T00:00:00.000Z,7,7,February,Feb,2,CY2003-Feb,2003,CY2003,4,FY2003-Feb,2003,FY2003,6
2003-02-08T00:00:00.000Z,8,8,February,Feb,2,CY2003-Feb,2003,CY2003,4,FY2003-Feb,2003,FY2003,6
2003-02-09T00:00:00.000Z,9,9,February,Feb,2,CY2003-Feb,2003,CY2003,4,FY2003-Feb,2003,FY2003,6
2003-02-10T00:00:00.000Z,10,10,February,Feb,2,CY2003-Feb,2003,CY2003,4,FY2003-Feb,2003,FY2003,7
2003-03-01T00:00:00.000Z,1,1,March,Mar,3,CY2003-Mar,2003,CY2003,5,FY2003-Mar,2003,FY2003,9
2003-03-02T00:00:00.000Z,2,2,March,Mar,3,CY2003-Mar,2003,CY2003,5,FY2003-Mar,2003,FY2003,9
