CustomerKey,WWICustomerID,Customer,BillToCustomer,Category,BuyingGroup,PrimaryContact,PostalCode,ValidFrom,ValidTo,LineageKey
39,39,"Tailspin Toys (Diablock, KY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ashish Acharya,90158,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
40,40,"Tailspin Toys (Impact, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Alena Prikrylova,90326,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
41,41,"Tailspin Toys (Olivette, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lana Rozej,90042,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
42,42,"Tailspin Toys (Arietta, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Chandrakanta Raut,90124,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
43,43,"Tailspin Toys (Upper Preston, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ganapati Gadiyaram,90687,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
44,44,"Tailspin Toys (Amanda Park, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Adrijana Blagojevic,90258,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
45,45,"Tailspin Toys (Severna Park, MD)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lap Dinh,90326,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
46,46,"Tailspin Toys (Jemison, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Didem ozCelik,90683,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
47,47,"Tailspin Toys (Lake Hughes, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Serhat Akbulut,90358,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
48,48,"Tailspin Toys (Trentwood, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniela Barrios,90615,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
49,49,"Tailspin Toys (Muir, MI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Julia Slobodova,90717,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
50,50,"Tailspin Toys (Hambleton, WV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Marcela Jankova,90087,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
