CustomerKey,WWICustomerID,Customer,BillToCustomer,Category,BuyingGroup,PrimaryContact,PostalCode,ValidFrom,ValidTo,LineageKey
213,412,"Wingtip Toys (Bozeman Hot Springs, MT)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Chati Ornlamai,90708,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
214,413,"Wingtip Toys (Truscott, TX)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Raine Knihtila,90010,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
215,414,"Wingtip Toys (Rose Tree, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Lan Chu,90710,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
216,415,"Wingtip Toys (Leathersville, GA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Maurice English,90402,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
217,416,"Wingtip Toys (Necedah, WI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Irene Sepp,90049,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
218,417,"Wingtip Toys (Chetek, WI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Chandranath Bose,90193,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
219,418,"Wingtip Toys (Yaak, MT)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Ana Julijana Isa,90284,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
220,419,"Wingtip Toys (Compass Lake, FL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Gireesh Bhogireddy,90212,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
221,420,"Wingtip Toys (Herlong, CA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Premwadee Atitarn,90358,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
222,421,"Wingtip Toys (Highland Home, AL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Nishant Patil,90035,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
223,422,"Wingtip Toys (Naches, WA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Rohan Das,90729,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
224,423,"Wingtip Toys (Baldwin City, KS)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Aamdaal Kamasamudram,90351,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
225,424,"Wingtip Toys (Heartwell, NE)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Baebeesarasvati Kamasamudram,90298,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
226,425,"Wingtip Toys (Bethel Acres, OK)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Marcello Dellucci,90530,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
227,426,"Wingtip Toys (Willow Valley, AZ)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Mee-Kyong Sin,90041,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
228,427,"Wingtip Toys (Athol Springs, NY)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Ivica LuÄic,90285,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
229,428,"Wingtip Toys (Paw Paw Lake, MI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Vinicius Correa,90635,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
230,429,"Wingtip Toys (Lilbourn, MO)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Fabio Pena,90025,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
231,430,"Wingtip Toys (Lost River, ID)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Lakshmi Roy,90272,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
232,431,"Wingtip Toys (Rosa Sánchez, PR)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Selma Seppanen,90726,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
233,432,"Wingtip Toys (Vamo, FL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Bay Ly,90333,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
