CustomerKey,WWICustomerID,Customer,BillToCustomer,Category,BuyingGroup,PrimaryContact,PostalCode,ValidFrom,ValidTo,LineageKey
78,78,"Tailspin Toys (Sekiu, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Duleep Walia,90686,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
79,79,"Tailspin Toys (Page City, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Matyas Macek,90316,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
80,80,"Tailspin Toys (Valdese, NC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bharat Ankitham,90541,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
81,81,"Tailspin Toys (Big Moose, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vera Kubatova,90798,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
82,82,"Tailspin Toys (La Cueva, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Rakesh Nishad,90253,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
83,83,"Tailspin Toys (Absecon, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sang Tran,90540,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
84,84,"Tailspin Toys (Aceitunas, PR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Eekalabya Bose,90213,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
85,85,"Tailspin Toys (Andrix, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tommy Kilpi,90653,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
86,86,"Tailspin Toys (New Lexington, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Andrea Ricci,90637,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
87,87,"Tailspin Toys (Sauquoit, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Isabell  Duperre,90199,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
