CustomerKey,WWICustomerID,Customer,BillToCustomer,Category,BuyingGroup,PrimaryContact,PostalCode,ValidFrom,ValidTo,LineageKey
156,156,"Tailspin Toys (Hollywood Park, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dilara Ayhan,90405,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
157,157,"Tailspin Toys (Saks, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Peter Macias,90362,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
158,158,"Tailspin Toys (Donner, LA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kurt Lukes,90567,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
159,159,"Tailspin Toys (Saint Louis Park, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Beatrise Bite,90401,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
160,160,"Tailspin Toys (Crary, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bishwanath Ghosh,90248,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
161,161,"Tailspin Toys (Aspen Park, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gianguido Lucchesi,90644,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
162,162,"Tailspin Toys (Glen Park, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nu Bach,90026,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
163,163,"Tailspin Toys (Panaca, NV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ivonna Ene,90297,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
164,164,"Tailspin Toys (Rothsville, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ceyhun sahin,90538,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
165,165,"Tailspin Toys (Topstone, CT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tian Peng,90675,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
166,166,"Tailspin Toys (McCamey, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vlastimil Bohuslav,90434,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
167,167,"Tailspin Toys (Rockwall, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nejc Vosnik,90294,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
168,168,"Tailspin Toys (Seagraves, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Anindo Mazumdar,90453,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
169,169,"Tailspin Toys (Sinclair, WY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nils Balodis,90401,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
170,170,"Tailspin Toys (Eastchester, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniella Barbosa,90031,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
171,171,"Tailspin Toys (Ortley Beach, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Raymond Levesque,90179,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
172,172,"Tailspin Toys (Madrone, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Raymond Desforges,90617,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
173,173,"Tailspin Toys (Wappingers Falls, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Raju Atluri,90681,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
174,174,"Tailspin Toys (Astor Park, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Matyas Bohuslav,90179,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
175,175,"Tailspin Toys (San Acacia, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Julio Correa,90445,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
176,176,"Tailspin Toys (Malott, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Banshari De,90015,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
177,177,"Tailspin Toys (Orrtanna, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ngai Lam,90008,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
178,178,"Tailspin Toys (Armstrong Creek, WI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Hyun-Doo Song,90397,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
179,179,"Tailspin Toys (Hiteman, IA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gabriela Srbova,90212,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
180,180,"Tailspin Toys (Caselton, NV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Serkan senturk,90747,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
181,181,"Tailspin Toys (Heilwood, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aahlada Thota,90300,2013-01-01T00:00:00.000Z,9999-12-31T23:59:59.999Z,2
